date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
8/31/2004,78.2502,79.2102,75.87,78.6102,9.1026,0.003837756,251700,0,SPTM
7/30/2004,81,81,76.98,78.3102,9.0678,-0.033087726,211000,0,SPTM
6/30/2004,79.6002,81.2802,79.4298,80.9898,9.3781,0.018075036,167200,0.2822,SPTM
5/28/2004,79.38,80.4,76.7298,79.83,9.2116,0.00884917,186100,0,SPTM
4/30/2004,80.3598,81.6,79.0998,79.1298,9.1308,-0.012726388,191300,0,SPTM
3/31/2004,82.05,82.9098,77.4702,80.1498,9.2485,-0.018987006,262900,0.2695,SPTM
2/27/2004,80.6298,82.5,80.0802,81.9798,9.4275,0.018132533,169500,0,SPTM
1/30/2004,79.7502,82.14,78.8298,80.52,9.2596,0.016667033,258800,0,SPTM
12/31/2003,76.0098,79.35,75.75,79.2,9.1078,0.050302136,260400,0.3536,SPTM
11/28/2003,75.6702,76.0002,74.0598,75.75,8.6716,0.005566121,187900,0,SPTM
10/31/2003,71.9202,75.5298,71.82,75.33,8.6236,0.055197308,353300,0,SPTM
9/30/2003,72.5502,74.58,70.9998,71.3898,8.1725,-0.008889374,381100,0.2575,SPTM
8/29/2003,71.0598,72.4302,69.15,72.2802,8.2458,0.013034878,302000,0,SPTM
7/31/2003,69.5802,72.84,69.1002,71.3502,8.1397,0.019284471,332700,0,SPTM
6/30/2003,69.9498,73.05,69.4002,70.0002,7.9857,0.013851154,373200,0.2641,SPTM
5/30/2003,65.8302,69.3,65.2302,69.3,7.8766,0.048884746,392400,0,SPTM
4/30/2003,61.4502,66.6798,61.14,66.0702,7.5095,0.080814623,302300,0,SPTM
3/31/2003,61.05,64.65,57.2502,61.1298,6.948,0.014869563,336900,0.2527,SPTM
2/28/2003,62.4,62.4,58.32,60.4698,6.8462,-0.019450014,124600,0,SPTM
1/31/2003,63.9,67.3998,60.9198,61.6698,6.982,-0.026681908,234200,0,SPTM
12/31/2002,68.7702,68.8698,62.8602,63.36,7.1734,-0.060581456,284300,0.282,SPTM
11/29/2002,63.93,68.07,63.4998,67.74,7.636,0.052515507,436600,0,SPTM
10/31/2002,59.88,65.9502,56.5002,64.3602,7.255,0.085346698,552300,0,SPTM
9/30/2002,65.7,67.38,58.3002,59.2998,6.6845,-0.109101571,325700,0.2663,SPTM
8/30/2002,66.0198,70.3998,60.9198,66.8502,7.5031,0.007830969,401900,0,SPTM
7/31/2002,71.8902,72.09,56.2002,66.33,7.4448,-0.075662387,581800,0,SPTM
6/28/2002,76.98,76.9998,68.8002,71.76,8.0542,-0.064856957,368500,0.2085,SPTM
5/31/2002,77.5698,79.8102,75.8598,76.9602,8.6128,-0.008370272,313800,0,SPTM
4/30/2002,81.4998,82.2498,76.74,77.61,8.6855,-0.059613906,598500,0,SPTM
3/28/2002,80.22,84.27,80.22,82.53,9.2361,0.034532584,755600,0.1829,SPTM
2/28/2002,80.9802,81.39,77.34,79.95,8.9278,-0.011503925,406100,0,SPTM
1/31/2002,82.0998,84,77.7498,80.88,9.0317,-0.012810283,336900,0,SPTM
12/31/2001,81,83.8098,79.77,81.93,9.1489,0.007976643,385800,0.2401,SPTM
11/30/2001,76.3002,83.0802,75.6702,81.5202,9.0765,0.072073987,878000,0,SPTM
10/31/2001,74.4,79.4298,74.1,76.0398,8.4663,0.015484815,753300,0,SPTM
9/28/2001,81.3,82.9398,68.2998,74.88,8.3372,-0.076404967,269700,0.3587,SPTM
8/31/2001,86.7498,87.6402,80.8602,81.4902,9.0269,-0.05900197,347900,0,SPTM
7/31/2001,87.9,88.29,83.8098,86.5998,9.5929,-0.015355402,80600,0,SPTM
6/29/2001,89.25,91.0998,85.6002,87.9498,9.7425,-0.016961637,87100,0.2253,SPTM
5/31/2001,88.74,93.1002,87.75,89.7,9.9106,0.013561055,121700,0,SPTM
4/30/2001,82.8702,90.1302,78.69,88.5,9.778,0.068201929,134900,0,SPTM
3/30/2001,87.6,89.5002,77.0502,82.8498,9.1537,-0.057291452,56400,0.2664,SPTM
2/28/2001,95.5002,96.1998,86.2998,88.17,9.71,-0.074621176,63500,0,SPTM
1/31/2001,92.4372,96.1002,89.625,95.28,10.493,0.030928848,312500,0,SPTM
12/29/2000,92.2188,96.3126,88.1562,92.4216,10.1782,0.007662759,950900,0.2178,SPTM
11/30/2000,97.3128,98.8908,90.8124,91.9374,10.1008,0.007662759,90200,0,SPTM
